phecode,male_only,female_only
276.4,FALSE,FALSE
276.41,FALSE,FALSE
276.42,FALSE,FALSE
276.5,FALSE,FALSE
276.6,FALSE,FALSE
276.8,FALSE,FALSE
277,FALSE,FALSE
277.1,FALSE,FALSE
277.2,FALSE,FALSE
277.4,FALSE,FALSE
277.5,FALSE,FALSE
277.51,FALSE,FALSE
277.6,FALSE,FALSE
277.7,FALSE,FALSE
277.8,FALSE,FALSE
278,FALSE,FALSE
278.1,FALSE,FALSE
278.11,FALSE,FALSE
278.3,FALSE,FALSE
278.4,FALSE,FALSE
279,FALSE,FALSE
279.1,FALSE,FALSE
279.11,FALSE,FALSE
279.2,FALSE,FALSE
279.7,FALSE,FALSE
279.8,FALSE,FALSE
280,FALSE,FALSE
280.1,FALSE,FALSE
280.2,FALSE,FALSE
281,FALSE,FALSE
281.1,FALSE,FALSE
281.11,FALSE,FALSE
281.12,FALSE,FALSE
281.13,FALSE,FALSE
281.9,FALSE,FALSE
282,FALSE,FALSE
282.5,FALSE,FALSE
282.8,FALSE,FALSE
282.9,FALSE,FALSE
283,FALSE,FALSE
283.1,FALSE,FALSE
283.2,FALSE,FALSE
283.21,FALSE,FALSE
284,FALSE,FALSE
284.1,FALSE,FALSE
284.2,FALSE,FALSE
285,FALSE,FALSE
285.1,FALSE,FALSE
285.2,FALSE,FALSE
285.21,FALSE,FALSE
285.22,FALSE,FALSE
285.3,FALSE,FALSE
285.8,FALSE,FALSE
286,FALSE,FALSE
286.1,FALSE,FALSE
286.11,FALSE,FALSE
286.12,FALSE,FALSE
286.13,FALSE,FALSE
286.2,FALSE,FALSE
286.3,FALSE,TRUE
286.4,FALSE,FALSE
286.5,FALSE,FALSE
286.6,FALSE,FALSE
286.7,FALSE,FALSE
286.8,FALSE,FALSE
286.81,FALSE,FALSE
286.9,FALSE,FALSE
287,FALSE,FALSE
287.1,FALSE,FALSE
287.2,FALSE,FALSE
287.3,FALSE,FALSE
287.31,FALSE,FALSE
287.32,FALSE,FALSE
287.4,FALSE,FALSE
288,FALSE,FALSE
288.1,FALSE,FALSE
288.11,FALSE,FALSE
288.2,FALSE,FALSE
288.3,FALSE,FALSE
289,FALSE,FALSE
289.1,FALSE,FALSE
289.3,FALSE,FALSE
289.4,FALSE,FALSE
289.5,FALSE,FALSE
289.8,FALSE,FALSE
289.9,FALSE,FALSE
290,FALSE,FALSE
290.1,FALSE,FALSE
290.11,FALSE,FALSE
290.12,FALSE,FALSE
290.13,FALSE,FALSE
290.16,FALSE,FALSE
290.2,FALSE,FALSE
290.3,FALSE,FALSE
291,FALSE,FALSE
291.1,FALSE,FALSE
291.4,FALSE,FALSE
291.8,FALSE,FALSE
292,FALSE,FALSE
292.1,FALSE,FALSE
292.11,FALSE,FALSE
292.12,FALSE,FALSE
292.2,FALSE,FALSE
292.3,FALSE,FALSE
292.4,FALSE,FALSE
292.5,FALSE,FALSE
292.6,FALSE,FALSE
293,FALSE,FALSE
293.1,FALSE,FALSE
295,FALSE,FALSE
295.1,FALSE,FALSE
295.2,FALSE,FALSE
295.3,FALSE,FALSE
296,FALSE,FALSE
296.1,FALSE,FALSE
296.2,FALSE,FALSE
296.22,FALSE,FALSE
297,FALSE,FALSE
297.1,FALSE,FALSE
297.2,FALSE,FALSE
300,FALSE,FALSE
300.1,FALSE,FALSE
300.11,FALSE,FALSE
300.12,FALSE,FALSE
300.13,FALSE,FALSE
300.2,FALSE,FALSE
300.3,FALSE,FALSE
300.4,FALSE,FALSE
300.8,FALSE,FALSE
300.9,FALSE,FALSE
301,FALSE,FALSE
301.1,FALSE,FALSE
301.2,FALSE,FALSE
302,FALSE,FALSE
302.1,FALSE,FALSE
303,FALSE,FALSE
303.1,FALSE,FALSE
303.3,FALSE,FALSE
303.31,FALSE,FALSE
303.4,FALSE,FALSE
304,FALSE,FALSE
305.2,FALSE,FALSE
305.21,FALSE,FALSE
306,FALSE,FALSE
306.1,FALSE,TRUE
306.9,FALSE,FALSE
312,FALSE,FALSE
312.3,FALSE,FALSE
313,FALSE,FALSE
313.1,FALSE,FALSE
313.2,FALSE,FALSE
313.3,FALSE,FALSE
315,FALSE,FALSE
315.1,FALSE,FALSE
315.2,FALSE,FALSE
315.3,FALSE,FALSE
316,FALSE,FALSE
316.1,FALSE,FALSE
317,FALSE,FALSE
317.1,FALSE,FALSE
317.11,FALSE,FALSE
318,FALSE,FALSE
320,FALSE,FALSE
323,FALSE,FALSE
323.2,FALSE,FALSE
323.8,FALSE,FALSE
324,FALSE,FALSE
324.1,FALSE,FALSE
325,FALSE,FALSE
