"","code","phecode_unrolled"
"416","284.1","284.1"
"417","284.2","284.2"
"418","285","285"
"419","285.1","285.1"
"420","285.2","285.2"
"421","285.21","285.21"
"422","285.22","285.22"
"423","285.3","285.3"
"424","285.8","285.8"
"425","286","286"
"426","286.1","286.1"
"427","286.11","286.11"
"428","286.12","286.12"
"429","286.13","286.13"
"430","286.2","286.2"
"431","286.3","286.3"
"432","286.4","286.4"
"433","286.5","286.5"
"434","286.6","286.6"
"435","286.7","286.7"
"436","286.8","286.8"
"437","286.81","286.81"
"438","286.9","286.9"
"439","287","287"
"440","287.1","287.1"
"441","287.2","287.2"
"442","287.3","287.3"
"443","287.31","287.31"
"444","287.32","287.32"
"445","287.4","287.4"
"446","288","288"
"447","288.1","288.1"
"448","288.11","288.11"
"449","288.2","288.2"
"450","288.3","288.3"
"451","289","289"
"452","289.1","289.1"
"453","289.3","289.3"
"454","289.4","289.4"
"455","289.5","289.5"
"456","289.8","289.8"
"457","289.9","289.9"
"458","290","290"
"459","290.1","290.1"
"460","290.11","290.11"
"461","290.12","290.12"
"462","290.13","290.13"
"463","290.16","290.16"
"464","290.2","290.2"
"465","290.3","290.3"
"466","291","291"
"467","291.1","291.1"
"468","291.4","291.4"
"469","291.8","291.8"
"470","292","292"
"471","292.1","292.1"
"472","292.11","292.11"
"473","292.12","292.12"
"474","292.2","292.2"
"475","292.3","292.3"
"476","292.4","292.4"
"477","292.5","292.5"
"478","292.6","292.6"
"479","293","293"
"480","293.1","293.1"
"481","295","295"
"482","295.1","295.1"
"483","295.2","295.2"
"484","295.3","295.3"
"485","296","296"
"486","296.1","296.1"
"487","296.2","296.2"
"488","296.22","296.22"
"489","297","297"
"490","297.1","297.1"
"491","297.2","297.2"
"492","300","300"
"493","300.1","300.1"
"494","300.11","300.11"
"495","300.12","300.12"
"496","300.13","300.13"
"497","300.2","300.2"
"498","300.3","300.3"
"499","300.4","300.4"
"500","300.8","300.8"
"501","300.9","300.9"
"502","301","301"
"503","301.1","301.1"
"504","301.2","301.2"
"505","302","302"
"506","302.1","302.1"
"507","303","303"
"508","303.1","303.1"
"509","303.3","303.3"
"510","303.31","303.31"
"511","303.4","303.4"
"512","304","304"
"513","305.2","305.2"
"514","305.21","305.21"
"515","306","306"
"516","306.1","306.1"
"517","306.9","306.9"
"518","312","312"
"519","312.3","312.3"
"520","313","313"
"521","313.1","313.1"
"522","313.2","313.2"
"523","313.3","313.3"
"524","315","315"
"525","315.1","315.1"
"526","315.2","315.2"
"527","315.3","315.3"
"528","316","316"
"529","316.1","316.1"
"530","317","317"
"531","317.1","317.1"
"532","317.11","317.11"
"533","318","318"
"534","320","320"
"535","323","323"
"536","323.2","323.2"
"537","323.8","323.8"
"538","324","324"
"539","324.1","324.1"
"540","325","325"
"541","327","327"
"542","327.1","327.1"
"543","327.3","327.3"
"544","327.31","327.31"
"545","327.32","327.32"
"546","327.4","327.4"
"547","327.41","327.41"
"548","327.5","327.5"
"549","327.6","327.6"
"550","327.7","327.7"
"551","327.71","327.71"
"552","327.72","327.72"
"553","331","331"
"554","331.1","331.1"
"555","331.9","331.9"
"556","332","332"
"557","333","333"
"558","333.1","333.1"
"559","333.2","333.2"
"560","333.3","333.3"
"561","333.4","333.4"
"562","333.8","333.8"
"563","334","334"
"564","334.1","334.1"
"565","334.2","334.2"
"566","334.21","334.21"
"567","335","335"
"568","337","337"
"569","337.1","337.1"
"570","338","338"
"571","338.1","338.1"
"572","338.2","338.2"
"573","339","339"
"574","340","340"
"575","340.1","340.1"
"576","341","341"
"577","342","342"
"578","343","343"
"579","344","344"
"580","345","345"
"581","345.1","345.1"
"582","345.11","345.11"
"583","345.12","345.12"
"584","345.3","345.3"
"585","346","346"
"586","346.1","346.1"
"587","346.2","346.2"
"588","346.3","346.3"
"589","347","347"
"590","348","348"
"591","348.2","348.2"
"592","348.4","348.4"
"593","348.7","348.7"
"594","348.8","348.8"
"595","348.9","348.9"
"596","349","349"
"597","350","350"
"598","350.1","350.1"
"599","350.2","350.2"
"600","350.3","350.3"
"601","350.5","350.5"
"602","350.6","350.6"
"603","351","351"
"604","352","352"
"605","352.1","352.1"
"606","352.2","352.2"
"607","353","353"
"608","353.1","353.1"
"609","353.2","353.2"
"610","355","355"
"611","355.1","355.1"
"612","356","356"
"613","357","357"
"614","358","358"
"615","358.1","358.1"
"616","359","359"
"617","359.1","359.1"
"618","359.2","359.2"
"619","360","360"
"620","360.2","360.2"
"621","360.3","360.3"
"622","361","361"
"623","361.1","361.1"
"624","361.2","361.2"
"625","362","362"
"626","362.1","362.1"
"627","362.2","362.2"
"628","362.21","362.21"
"629","362.22","362.22"
"630","362.23","362.23"
"631","362.26","362.26"
"632","362.27","362.27"
"633","362.29","362.29"
"634","362.3","362.3"
"635","362.31","362.31"
"636","362.4","362.4"
